Level,LED Flashes,UID,FID,Type,Display,Message,Description,Recommended Action
1,2,1,0x4481,Warning,F12001,Handbrake Fault,Handbrake is active when direction selected.,Release handbrake
1,5,1,0x4541,Warning,F15001,Fan Fault,No speed feedback from external heatsink fans,Check operation of heatsink fans
1,5,2,0x4542,Warning,F15002,Low Oil,Low Oil,Check oil level
1,5,3,0x4543,Warning,F15003,Hydraulic filter,Hydraulic Filter,Check hydraulic filter
1,5,4,0x4544,Warning,F15004,Pump Current Low,Pump motor is not drawing sufficient current,Check pump motor is connected
1,5,5,0x4545,Warning,F15005,Isolation Fault,Isolation fault detected between logic and power frame,Check isolation between low and high voltage circuits
1,5,6,0x4546,Warning,F15006,No Motor Speed Signal,No speed feedback from motor,Check encoder wiring and speed measurement signal
1,5,7,0x4547,Warning,F15007,Tow Mode,Tow mode has been activated,Disable tow mode if not required
1,5,8,0x4548,Warning,F15008,Steer Sensor Warning,Invalid steer sensor state,Check steer sensor wiring
1,5,9,0x4549,Warning,F15009,Pulsed Enable,"Pulsed enable signal not present, unable to enable bridge",Check 1kHz pulsed enable signal is received
1,6,1,0x4581,Warning,F16001,Throttle Fault (Warn),Warning level throttle fault. Used for Renault Twizy,Check throttle wiring and installation.
1,6,2,0x4582,Warning,F16002,Safety Case 1,"Throttle appears to be stuck. This fault will clear if throttle starts to
work again.",Check throttle wiring and installation.
1,6,3,0x4583,Warning,F16003,Safety Case 2,"Throttle appears to be stuck. This fault will latch and can only be
cleared by repairing the throttle and recycling power.",Check throttle wiring and installation.
1,6,4,0x4584,Warning,F16004,Analogue Output Over Current (warn),Contactor driver over current,"Ensure contactor doesn't exceed maximum current and check
contactor wiring"
1,6,5,0x4585,Warning,F16005,Analogue Output Off with Failsafe (warn),Contactor driver not working,Internal hardware fault
1,6,6,0x4586,Warning,F16006,Analogue Output Over Temperature (warn),Contactor driver over temperature,"Ensure contactor doesn't exceed maximum current and check
contactor wiring"
1,6,7,0x4587,Warning,F16007,Analogue Output Under Current (warn),Contactor driver unable to achieve current target in current mode,Ensure contactor driver current target is within range
1,6,8,0x4588,Warning,F16008,Analogue Output Short Circuit (warn),Contactor driver MOSFET short circuit detected,Internal hardware fault
1,7,1,0x45C1,Warning,F17001,BDI Warning,"BDI remaining charge (0x2790,1) is less than BDI Warning level
(0x2C30,5)",Charge battery
1,7,2,0x45C2,Warning,F17002,BDI Cutout,"BDI remaining charge (0x2790,1) is less than BDI Cutout level
(0x2C30,4)",Charge battery
1,7,3,0x45C3,Warning,F17003,Low Battery Cut,"Battery voltage (0x5100,1) is less than Under Voltage limit
(0x2C02,2) for longer than the protection delay (0x2C03,0)",Charge battery
1,7,4,0x45C4,Warning,F17004,High Battery Cut,"Battery voltage (0x5100,1) is greater than Over Voltage limit
(0x2C01,2) for longer than the protection delay (0x2C03,0)",Charge battery
